event_type,event_name,start_at,end_at,deadline_at
pre_ufa_auction,R/F,2026-03-30 12:00:00,2026-04-03 12:00:00,
pre_ufa_auction,FT,2026-04-06 12:00:00,2026-04-12 12:00:00,
pre_ufa_auction,RFA,2026-04-13 12:00:00,2026-04-19 12:00:00,
pre_ufa_auction,B/R,2026-04-20 12:00:00,2026-04-28 12:00:00,
pre_ufa_auction,UDFA,2026-05-05 12:00:00,2026-05-09 12:00:00,
ufa_auction_first_three_days,UFA,2026-06-15 12:00:00,2026-06-18 12:00:00,
roster_deadline,UFA signing deadline,,,2026-06-22 12:00:00
roster_deadline,Rookie signing deadline,,,2026-07-01 00:00:00
