conference,franchise,franchise_name,player,prev_salary,prev_years,ext_years,week,player_id,player_name,player_team,player_pos,roster_status,player_headshot,player_birth_date,player_jersey,player_rookie_season,player_draft_year,player_draft_round,player_draft_round_pick,player_draft_pick,team_logo_espn,team_logo_wikipedia,team_logo_squared,team_wordmark,team_color,team_color2,contract,ext_marker,fifth_year_option,eligibility_note,fifth_year_option_available,fifth_year_option_ineligible,fifth_year_option_ineligible_reason,fifth_year_draft_qualified,fifth_year_original_rookie_contract,fifth_year_position_eligible,has_exercised_5yo,fifth_year_option_salary,fifth_year_tag_level,fifth_year_tsp_pos,fifth_year_tsp_rank,fifth_year_tsp_points,fifth_year_starts,fifth_year_draft_year,fifth_year_draft_round,fifth_year_draft_pick,fifth_year_draft_overall,rookie_contract_type,max_rookie_remaining_years,rookie_signed_less_than_max,ext_window,contract_tool,ext_cooldown_ineligible,next_eligible_ext_year,next_eligible_ext_type,robust_pr_count,pr_current_pos,pr_current_total,pr_current_avg,pr_current_final,pr_recent_pos,pr_recent_total,pr_recent_avg,pr_recent_final,pr_previous_pos,pr_previous_total,pr_previous_avg,pr_previous_final,pr_current_season_local,pr_current_pos_local,pr_current_total_local,pr_current_avg_local,pr_current_final_local,pr_current_gp_local,pr_current_robust_local,pr_recent_season_local,pr_recent_pos_local,pr_recent_total_local,pr_recent_avg_local,pr_recent_final_local,pr_recent_gp_local,pr_previous_season_local,pr_previous_pos_local,pr_previous_total_local,pr_previous_avg_local,pr_previous_final_local,pr_previous_gp_local,epv_current,epv_recent,epv_previous,eys,new_salary,new_years
AFC,BAL,Baltimore Ravens,"Downs, Josh IND WR",1.57,1,3,0,16187,"Downs, Josh",IND,WR,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gqozitn9vxnp8acz6wwg",2001-08-12,2,2023,2023,3,16,79,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/IND.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/IND.png,#002C5F,#a5acaf,2023 3.03,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,29.7,5YO-,WR,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,1,FALSE,iEXT,NA,FALSE,NA,NA,3,NA,NA,NA,NA,WR,60,73,60,WR,38,38,38,NA,NA,NA,NA,NA,NA,NA,2025,WR,60,73,60,15,2024,WR,38,38,38,13,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Elliss, Kaden NOS LB",5.85,1,3,0,14303,"Elliss, Kaden",NOS,LB,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b7jmlakbznkeusvsztgo",1995-06-10,55,2019,2019,7,30,244,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NO.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NO.png,#D3BC8D,#000000,2025 UFA,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,8.7,5YO-,LB,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,6,NA,NA,NA,NA,LB,19,26,19,LB,4,8,4,NA,NA,NA,NA,NA,NA,NA,2025,LB,19,26,19,16,2024,LB,4,8,4,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Engram, Evan DEN TE",6.48,1,3,0,13189,"Engram, Evan",DEN,TE,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vsrjso6phkjqki88qw9y",1994-09-02,1,2017,2017,1,23,23,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DEN.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DEN.png,#002244,#FB4F14,2025 UFA,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,9.78,5YO-,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,9,NA,NA,NA,NA,TE,39,41,39,TE,37,24,24,NA,NA,NA,NA,NA,NA,NA,2025,TE,39,41,39,15,2024,TE,37,24,24,9,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Ferguson, Terrance LAR TE",1.25,3,3,0,17107,"Ferguson, Terrance",LAR,TE,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/usa23ax8dratptvikr9a",2003-03-07,18,2025,2025,2,14,46,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LA.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LA.png,#003594,#FFD100,2025 3.15,NA,NA,Ineligible: 2+ current contract years,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,9.78,5YO-,TE,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,3,FALSE,iEXT,NA,FALSE,NA,NA,1,NA,NA,NA,NA,TE,43,44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,TE,43,44,43,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Gillikin, Blake ARI PN",1.1,1,3,0,15499,"Gillikin, Blake",ARI,PN,Taxi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/idkikmdoy9mz7fw2dgl0",1998-01-21,12,2020,NA,NA,NA,NA,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ARI.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png,#97233F,#000000,2026 R/F,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired; PK and PN are 5YO ineligible,FALSE,FALSE,FALSE,FALSE,2.09,5YO-,PN,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,4,NA,NA,NA,NA,PN,19,14,14,PN,21,11,11,NA,NA,NA,NA,NA,NA,NA,2024,PN,19,14,14,13,2023,PN,21,11,11,12,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Hall, Derick SEA DE",1.1,1,3,0,16235,"Hall, Derick",SEA,DE,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbzmlna8fujliinb6g33",2001-03-19,58,2023,2023,2,6,37,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SEA.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SEA.png,#002244,#69be28,2026 R/F,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,15.57,5YO-,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,3,NA,NA,NA,NA,DE,88,98,88,DE,35,45,35,NA,NA,NA,NA,NA,NA,NA,2025,DE,88,98,88,13,2024,DE,35,45,35,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Hampton, Omarion LAC RB",5.92,3,3,0,17044,"Hampton, Omarion",LAC,RB,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ck7xcbwuka7wu2zwhssk",2003-03-16,8,2025,2025,1,22,22,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LAC.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAC.png,#007BC7,#ffc20e,2025 1.05,NA,NA,Ineligible: 2+ current contract years,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,15.47,5YO-,RB,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,3,FALSE,iEXT,NA,FALSE,NA,NA,1,NA,NA,NA,NA,RB,34,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,RB,34,13,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Herbert, Justin LAC QB",15.59,3,3,0,14779,"Herbert, Justin",LAC,QB,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",1998-03-10,10,2020,2020,1,6,6,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LAC.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAC.png,#007BC7,#ffc20e,2023 iEXT,NA,NA,Ineligible: 2+ current contract years,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,26.69,5YO-,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,iEXT,FALSE,2024,iEXT,6,NA,NA,NA,NA,QB,13,16,13,QB,10,13,10,NA,NA,NA,NA,NA,NA,NA,2025,QB,13,16,13,16,2024,QB,10,13,10,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Hicks, Jaden KCC S",1.1,1,3,0,16727,"Hicks, Jaden",KCC,S,Taxi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lvcirt1ekbyj97v6mdzx",2002-08-16,21,2024,2024,4,33,133,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/KC.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/KC.png,#E31837,#FFB612,2026 R/F,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,7.4,5YO-,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,2,NA,NA,NA,NA,S,90,104,90,S,75,87,75,NA,NA,NA,NA,NA,NA,NA,2025,S,90,104,90,16,2024,S,75,87,75,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Hunter, Travis JAC WR",9.05,3,3,0,17074,"Hunter, Travis",JAC,WR,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/apfzii6u8pwj9ntvyfkk",2003-05-18,12,2025,2025,1,2,2,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/JAX.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/JAX.png,#006778,#000000,2025 1.02,NA,NA,Ineligible: 2+ current contract years; no Robust PRs,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,29.7,5YO-,WR,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,3,FALSE,iEXT,NA,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
