player_id,robust_pr_count,pr_current_season,pr_current_pos,pr_current_total,pr_current_avg,pr_current_final,pr_current_gp,pr_current_robust,pr_recent_season,pr_recent_pos,pr_recent_total,pr_recent_avg,pr_recent_final,pr_recent_gp,pr_previous_season,pr_previous_pos,pr_previous_total,pr_previous_avg,pr_previous_final,pr_previous_gp
16241,NA,2026,CB,48,48,48,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17200,NA,2026,CB,49.5,49.5,49.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17163,NA,2026,CB,49.5,49.5,49.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17142,NA,2026,CB,51,51,51,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15445,NA,2026,CB,52,52,52,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17581,NA,2026,CB,55,55,55,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13281,NA,2026,CB,55,55,55,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14905,NA,2026,CB,55,55,55,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13764,NA,2026,CB,55,55,55,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16145,NA,2026,CB,55,55,55,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17592,NA,2026,CB,58.5,58.5,58.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16754,NA,2026,CB,58.5,58.5,58.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17128,NA,2026,CB,61,61,61,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17187,NA,2026,CB,61,61,61,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17616,NA,2026,CB,61,61,61,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16736,NA,2026,CB,64.5,64.5,64.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15868,NA,2026,CB,64.5,64.5,64.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15856,NA,2026,CB,64.5,64.5,64.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16268,NA,2026,CB,64.5,64.5,64.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17639,NA,2026,CB,67.5,67.5,67.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15950,NA,2026,CB,67.5,67.5,67.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16325,NA,2026,CB,69,69,69,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14012,NA,2026,CB,70.5,70.5,70.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17169,NA,2026,CB,70.5,70.5,70.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15394,NA,2026,CB,73,73,73,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15866,NA,2026,CB,73,73,73,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14997,NA,2026,CB,73,73,73,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14198,NA,2026,CB,75,75,75,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13710,NA,2026,CB,77,77,77,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17141,NA,2026,CB,77,77,77,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15361,NA,2026,CB,77,77,77,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13227,NA,2026,CB,80,80,80,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16729,NA,2026,CB,80,80,80,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15362,NA,2026,CB,80,80,80,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17653,NA,2026,CB,82,82,82,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16261,NA,2026,CB,83,83,83,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14252,NA,2026,CB,86.5,86.5,86.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17376,NA,2026,CB,86.5,86.5,86.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17368,NA,2026,CB,86.5,86.5,86.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16690,NA,2026,CB,86.5,86.5,86.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15377,NA,2026,CB,86.5,86.5,86.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13920,NA,2026,CB,86.5,86.5,86.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15129,NA,2026,CB,91.5,91.5,91.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15862,NA,2026,CB,91.5,91.5,91.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16784,NA,2026,CB,91.5,91.5,91.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17251,NA,2026,CB,91.5,91.5,91.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14918,NA,2026,CB,94,94,94,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15913,NA,2026,CB,95,95,95,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16672,NA,2026,CB,96,96,96,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16695,NA,2026,CB,97,97,97,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16054,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15432,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17604,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14904,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15833,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16776,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17168,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13811,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15392,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17572,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15894,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15401,NA,2026,CB,103.5,103.5,103.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16720,NA,2026,CB,111,111,111,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16741,NA,2026,CB,111,111,111,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16726,NA,2026,CB,111,111,111,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16012,NA,2026,CB,113,113,113,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17214,NA,2026,CB,114,114,114,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16735,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13263,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16288,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16336,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17643,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15464,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15880,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16253,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17574,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16366,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16714,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12988,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17197,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13270,NA,2026,CB,126,126,126,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
