season,week,conference,player_id,roster_status
2026,1,AFC,14904,Active
2026,1,AFC,14907,Active
2026,1,AFC,14908,Active
2026,1,AFC,14909,Active
2026,1,AFC,14910,Active
2026,1,AFC,14918,Active
2026,1,AFC,14921,Active
2026,1,AFC,14925,Active
2026,1,AFC,14927,Active
2026,1,AFC,14930,Active
2026,1,AFC,14933,Active
2026,1,AFC,14940,Active
2026,1,AFC,14943,Active
2026,1,AFC,14947,Active
2026,1,AFC,14953,Active
2026,1,AFC,14954,Active
2026,1,AFC,14957,Active
2026,1,AFC,14974,Active
2026,1,AFC,14982,Active
2026,1,AFC,14983,Active
2026,1,AFC,14995,Active
2026,1,AFC,14997,Active
2026,1,AFC,15001,Active
2026,1,AFC,15003,Active
2026,1,AFC,15051,Active
2026,1,AFC,15076,Active
2026,1,AFC,15089,Active
2026,1,AFC,15237,Active
2026,1,AFC,15241,Active
2026,1,AFC,15253,Active
2026,1,AFC,15254,Active
2026,1,AFC,15255,Active
2026,1,AFC,15256,Active
2026,1,AFC,15259,Active
2026,1,AFC,15261,Active
2026,1,AFC,15281,Active
2026,1,AFC,15282,Active
2026,1,AFC,15284,Active
2026,1,AFC,15287,Active
2026,1,AFC,15290,Active
2026,1,AFC,15293,Active
2026,1,AFC,15319,Active
2026,1,AFC,15329,Active
2026,1,AFC,15331,Active
2026,1,AFC,15345,Active
2026,1,AFC,15346,Active
2026,1,AFC,15349,Active
2026,1,AFC,15350,INJURED_RESERVE
2026,1,AFC,15351,INJURED_RESERVE
2026,1,AFC,15352,Active
2026,1,AFC,15355,Active
2026,1,AFC,15357,Active
2026,1,AFC,15358,Active
2026,1,AFC,15361,Active
2026,1,AFC,15362,Active
2026,1,AFC,15365,Active
2026,1,AFC,15366,Active
2026,1,AFC,15368,Active
2026,1,AFC,15378,Active
2026,1,AFC,15380,Active
2026,1,AFC,15387,Active
2026,1,AFC,15390,Active
2026,1,AFC,15391,Active
2026,1,AFC,15393,Active
2026,1,AFC,15395,Active
2026,1,AFC,15396,Active
2026,1,AFC,15401,Active
2026,1,AFC,15404,Active
2026,1,AFC,15418,Active
2026,1,AFC,15428,Active
2026,1,AFC,15445,Active
2026,1,AFC,15452,Active
2026,1,AFC,15484,Taxi
2026,1,AFC,15676,Active
2026,1,AFC,15694,Active
2026,1,AFC,15698,Active
2026,1,AFC,15708,Active
2026,1,AFC,15710,Active
2026,1,AFC,15711,Active
2026,1,AFC,15712,Active
2026,1,AFC,15715,Active
2026,1,AFC,15721,Active
2026,1,AFC,15738,Active
2026,1,AFC,15742,Active
2026,1,AFC,15749,INJURED_RESERVE
2026,1,AFC,15751,Active
2026,1,AFC,15753,Active
2026,1,AFC,15754,Active
2026,1,AFC,15755,Active
2026,1,AFC,15756,Active
2026,1,AFC,15757,Active
2026,1,AFC,15761,Active
2026,1,AFC,15762,Active
2026,1,AFC,15768,Active
2026,1,AFC,15779,Active
2026,1,AFC,15786,Active
2026,1,AFC,15788,Active
2026,1,AFC,15789,Active
2026,1,AFC,15794,Active
2026,1,AFC,15797,Active
2026,1,AFC,15798,Active
2026,1,AFC,15799,Active
2026,1,AFC,15802,Active
2026,1,AFC,15805,Active
2026,1,AFC,15806,Active
2026,1,AFC,15808,Active
2026,1,AFC,15809,Active
2026,1,AFC,15812,Active
2026,1,AFC,15813,Active
2026,1,AFC,15815,Active
2026,1,AFC,15817,Active
2026,1,AFC,15819,Active
2026,1,AFC,15821,Active
2026,1,AFC,15822,Active
2026,1,AFC,15831,Active
2026,1,AFC,15832,Active
2026,1,AFC,15834,Active
2026,1,AFC,15835,Active
2026,1,AFC,15836,Active
2026,1,AFC,15839,Active
