season,week,checked_at,alert_type,severity,conference,franchise,franchise_name,rule,observed,details
2026,,2026-06-30 13:16:03 UTC,Salary Cap Violation,violation,AFC,LVR,Las Vegas Raiders,Top 43 Active Roster salaries at or below $244.00m,$253.89m,"$9.89m over; leaders: London, Drake $29.83m; Goff, Jared $26.98m; Sutton, Courtland $24.97m; Davis, Jordan $20.26m; Williams, Quinnen $12.65m; Robinson, Bijan $10.93m; Landry, Harold $7.92m; Dean, Nakobe $7.69m"
2026,,2026-06-30 13:16:03 UTC,Salary Cap Violation,violation,NFC,CAR,Carolina Panthers,Top 43 Active Roster salaries at or below $244.00m,$245.69m,"$1.69m over; leaders: Pickens, George $33.75m; Allen, Josh $27.24m; Jacobs, Josh $21.20m; Pierce, Alec $20.65m; Garrett, Myles $19.60m; Hunter, Danielle $10.45m; Walker, Travon $10.19m; Oliver, Ed $7.13m"
2026,,2026-06-30 13:16:03 UTC,Salary Cap Violation,violation,NFC,NYG,New York Giants,Top 43 Active Roster salaries at or below $244.00m,$254.54m,"$10.54m over; leaders: Lamb, CeeDee $41.50m; Collins, Nico $37.38m; Brown, Derrick $23.66m; McBride, Trey $22.66m; Taylor, Jonathan $19.36m; Herbert, Justin $16.65m; Allen, Zach $16.16m; Samuel, Deebo $15.49m"
